,,BOOKS,,MUSIC,,EXCERCISES,,GAMES
,,,,,,,,
,SAD,,,,,,,
1,,You Are a Badass by Jen Sincero,.,“Gonna Fly Now” by Bill Conti,.,Go for a Run for an All-Natural Mood Boost,.,Kirby: Planet Robobot
2,,Becoming Heroines by Elizabeth Cronise McLaughlin,.,“Hold On” by Good Charlotte,.,Lift Your Mood by Lifting Some Weights,.,Journey
3,,It's OK to Feel Things Deeply by Carissa Potter,.,“Citizen/Soldier” by 3 Doors Down,.,Combine Yoga With Other Treatments to Feel Better,.,Mario Galaxy (1+2)
4,,How to Talk to Your Boss About Race by Y-Vonne Hutchinson,.,“Demons” by Imagine Dragons,.,Relieve Stress With Graceful Tai Chi Moves,.,Flower
5,,"Euphoric: Ditch Alcohol and Gain a Happier, More Confident You by Karolina Rzadkowolska",.,“Second Chance” by Shinedown,.,Walk Regularly to Help Ease the Blues,.,Forza Horizon 3
6,,Swagger: Unleash Everything You Are and Become Everything You Want by Leslie Ehm,.,“You Raise Me Up” by Josh Groban,.,Get a Healthy Dose of Sunlight by Heading Outdoors,.,Thomas Was Alone
7,,Heart Talk: The Journal by Cleo Wade,.,“Wonderful” by Everclear,.,Break Out of a Funk by Bouncing,.,Rayman Legends
8,,"Self-Love Workbook for Women by Megan Logan, MSW, LCSW",.,“If I Lose Myself” by One Republic,.,30 Minutes of Meditation,.,Elude
9,,Good Anxiety: Harnessing the Power of the Most Misunderstood Emotion by Dr. Wendy Suzuki,.,“Break Me Out” by The Rescues,.,Walking Heel-to-Toe,.,Depression Quest
10,,Keep Moving: The Journal by Maggie Smith,.,“Save the World” by The Swedish House Mafia,.,Toe Walks,.,Actual Sunlight
,,,,,,,,
,HAPPY,,,,,,,
1,,The Art of Happiness by the Dalai Lama,.,‘Let’s Go Crazy’ by Prince,.,Three Walks a Week,.,Saran Wrap Game
